刚认识的年轻男女微信对话文本
na | 女生 | 哈喽～ 终于加上微信啦，昨天聚会人太多，都没好好跟你说句话😅
na | 男生 | 哈哈，确实！昨天太热闹了，我还想着散场后找朋友要你微信呢，没想到你先加我啦
na | 女生 | 害，主要是觉得你说话还挺有意思的，不像有些男生一开口就很尴尬
na | 男生 | 谢谢夸奖！我平时也不爱说那些客套话，感觉自然点最好～ 对了，你昨天说你是做设计的？
na | 女生 | 对呀对呀，平面设计，每天跟各种海报、排版打交道，有时候忙起来能熬到半夜
na | 男生 | 哇，那也太辛苦啦！不过做设计应该很有成就感吧，看到自己做的东西被用起来，肯定很开心
na | 女生 | 哈哈，还好啦，累是累，但看到成品确实会很有满足感～ 你呢？你是做什么工作的呀？
na | 男生 | 我是做互联网运营的，比你轻松点，但也经常要加班赶活动，有时候也得熬到挺晚
na | 女生 | 懂！打工人的痛😭 那你平时不加班的时候，都喜欢做什么呀？
na | 男生 | 一般就看看电影、打打羽毛球，有时候也会去咖啡馆坐会儿，放空一下。你呢？忙完会给自己放个假不？
na | 女生 | 会呀会呀！我喜欢逛书店，或者找家安静的小店喝喝奶茶、看看书，偶尔也会跟朋友去逛逛街
na | 男生 | 听起来就很舒服！我也挺喜欢逛书店的，就是平时没怎么找到伴，一个人逛总觉得少点什么
na | 女生 | 哈哈，巧了！我有时候也是一个人逛，下次如果刚好都有空，可以一起呀，互相有个伴
na | 男生 | 真的吗？那也太好啦！那我先记下来，等你不忙的时候，我约你～ 对了，你平时喜欢喝什么口味的奶茶？
na | 女生 | 我喜欢喝三分糖的果茶，不怎么爱喝太甜的～ 你呢？
na | 男生 | 我跟你差不多，也是不爱太甜的，一般喝五分糖的奶茶，偶尔也会喝果茶
na | 女生 | 看来我们口味还挺合拍的😂 对了，我这边有点事要忙啦，回头再聊呀
na | 男生 | 好嘞好嘞，你先忙，不打扰你～ 忙完记得回我呀，不许偷懒😜
na | 女生 | 哈哈，知道啦！回头聊～
na | 男生 | 回头聊✨
